key,description,attached to,status,suggested key
social-science.education.curriculum-and-instruction.chemistry-education,Study of teaching and learning chemistry.,Chemistry|1,valid,
social-science.education.curriculum-and-instruction.counselor-education,Study of training for counseling roles and practice.,Psychology|1,valid,
social-science.education.curriculum-and-instruction.language-education,Study of teaching and learning languages.,Linguistics|1,valid,
social-science.education.curriculum-and-instruction.legal-education,Study of education and training in law.,Law|1,valid,
social-science.education.curriculum-and-instruction.mathematics-education,Study of teaching and learning mathematics.,Mathematics|1,valid,
social-science.education.curriculum-and-instruction.medical-education,Study of training and education in medicine.,Biology|1,valid,
social-science.education.curriculum-and-instruction.military-education-and-training,Study of education and training in military contexts.,Political science|1,valid,
social-science.education.curriculum-and-instruction.nursing-education,Study of education and training in nursing.,Biology|1,valid,
social-science.education.curriculum-and-instruction.outdoor-education,Study of education conducted in outdoor settings.,Biology|1,valid,
social-science.education.curriculum-and-instruction.peace-education,Study of education for conflict resolution and peace.,Political science|1,valid,
social-science.education.curriculum-and-instruction.physical-education-sports-coaching,Study of physical education and sports coaching.,Biology|1,valid,
social-science.education.curriculum-and-instruction.physics-education,Study of teaching and learning physics.,Physics|1,valid,
social-science.education.curriculum-and-instruction.reading-education,Study of teaching reading and literacy skills.,Linguistics|1,valid,
social-science.education.curriculum-and-instruction.religious-education,Study of teaching religion and religious literacy.,Religious studies|1,valid,
social-science.education.curriculum-and-instruction.science-education,Study of teaching and learning science.,Scientific thinking|1,valid,
social-science.education.curriculum-and-instruction.special-education,Study of education for students with special needs.,Psychology|1,valid,
social-science.education.curriculum-and-instruction.technology-education,Study of teaching technology and engineering concepts.,Technology|1,valid,
social-science.education.curriculum-and-instruction.vocational-education,Study of education for trades and technical careers.,Technology|1,valid,
social-science.education.educational-leadership,Study of leadership and administration in education.,Psychology|1,valid,
social-science.education.educational-philosophy,Study of philosophical foundations of education.,Philosophy|1,valid,
social-science.education.educational-psychology,Study of learning processes and educational measurement.,Psychology|0,valid,
social-science.education.educational-technology,Study of technologies used to support learning.,Technology|1,valid,
social-science.education.distance-education,Study of teaching and learning at a distance.,Technology|1,valid,
social-science.family-and-consumer-science,Study of family life consumption and household management.,Sociology|1,valid,
social-science.family-and-consumer-science.consumer-education,Study of consumer decision making and financial literacy.,Economics|1,valid,
social-science.family-and-consumer-science.housing,Study of housing design policy and family living environments.,Sociology|1,valid,
social-science.family-and-consumer-science.interior-design,Study of interior design for functional living spaces.,Visual arts|1,valid,
social-science.family-and-consumer-science.nutrition,Study of nutrition and dietary health.,Biology|0,valid,
social-science.family-and-consumer-science.nutrition.foodservice-management,Study of managing food services and hospitality operations.,Economics|1,valid,
social-science.family-and-consumer-science.textiles,Study of textiles and their use in household contexts.,Biology|1,valid,
formal-science,Study of formal systems such as logic and mathematics.,,valid,
formal-science.information-science,Study of information organization retrieval and use.,Mathematics|1,valid,
formal-science.information-science.library-and-museum-studies,Study of library and museum information practices.,Information science|0,valid,
formal-science.information-science.library-and-museum-studies.archival-science,Study of preserving and organizing archival records.,Information science|0,valid,
formal-science.information-science.library-and-museum-studies.archivist,Study of professional practices of archivists.,Information science|0,valid,
formal-science.information-science.library-and-museum-studies.bibliographic-databases,Study of bibliographic databases and indexing.,Information science|0,valid,
formal-science.information-science.library-and-museum-studies.bibliometrics,Study of quantitative analysis of publications.,Statistics|1,valid,
formal-science.information-science.library-and-museum-studies.bookmobile,Study of mobile library services and access.,Information science|0,valid,
formal-science.information-science.library-and-museum-studies.cataloging,Study of cataloging and metadata for collections.,Information science|0,valid,
formal-science.information-science.library-and-museum-studies.cataloging.citation-analysis,Study of citation patterns and impact analysis.,Statistics|1,valid,
formal-science.information-science.library-and-museum-studies.categorization,Study of categorization methods and schemes.,Information science|0,valid,
formal-science.information-science.library-and-museum-studies.classification,Study of classification systems for information.,Information science|0,valid,
formal-science.information-science.library-and-museum-studies.classification.library-classification,Study of library classification schemes.,Information science|0,valid,
formal-science.information-science.library-and-museum-studies.classification.taxonomic-classification,Study of taxonomic classification of entities.,Biology|1,valid,
formal-science.information-science.library-and-museum-studies.classification.scientific-classification,Study of scientific classification systems.,Scientific thinking|1,valid,
formal-science.information-science.library-and-museum-studies.classification.statistical-classification,Study of statistical classification methods.,Statistics|1,valid,
formal-science.information-science.library-and-museum-studies.classification.security-classification,Study of classification of information for security.,Political science|1,valid,
formal-science.information-science.library-and-museum-studies.classification.film-classification,Study of film rating and classification systems.,Communication|1,valid,
formal-science.information-science.library-and-museum-studies.collections-care,Study of preservation and care of collections.,Information science|0,valid,
formal-science.information-science.library-and-museum-studies.collection-management,Study of managing collections policies and workflows.,Information science|0,valid,
formal-science.information-science.library-and-museum-studies.collection-management-policy,Study of policies for collection management and stewardship.,Information science|0,valid,
formal-science.information-science.library-and-museum-studies.conservation-science,Study of scientific methods for conserving materials.,Chemistry|1,valid,
formal-science.information-science.library-and-museum-studies.conservation-and-restoration-of-cultural-heritage,Study of preserving and restoring cultural heritage materials.,History|1,valid,
formal-science.information-science.library-and-museum-studies.curator,Study of curatorial practices for collections and exhibits.,Information science|0,valid,
formal-science.information-science.library-and-museum-studies.data-storage,Study of methods and systems for storing data.,Information science|0,valid,
formal-science.information-science.library-and-museum-studies.database-management,Study of managing databases and data systems.,Information science|0,valid,
formal-science.information-science.library-and-museum-studies.data-modeling,Study of modeling data structures and relationships.,Mathematics|1,valid,
formal-science.information-science.library-and-museum-studies.digital-preservation,Study of preserving digital assets and records.,Information science|0,valid,
formal-science.information-science.library-and-museum-studies.dissemination,Study of distributing information and knowledge.,Information science|0,valid,
formal-science.information-science.library-and-museum-studies.film-preservation,Study of preserving film materials and archives.,Communication|1,valid,
formal-science.information-science.library-and-museum-studies.five-laws-of-library-science,Study of foundational principles of library science.,Information science|0,valid,
formal-science.information-science.library-and-museum-studies.history-of-library-science,Study of the historical development of library science.,History|1,valid,
formal-science.information-science.library-and-museum-studies.indexer,Study of indexing practices and information access.,Information science|0,valid,
formal-science.information-science.library-and-museum-studies.informatics,Study of information processing and systems in practice.,Information science|0,valid,
formal-science.information-science.library-and-museum-studies.information-architecture,Study of structuring information for usability.,Information science|0,valid,
formal-science.information-science.library-and-museum-studies.information-broker,Study of professional information brokerage services.,Information science|0,valid,
formal-science.information-science.library-and-museum-studies.information-literacy,Study of skills for finding and evaluating information.,Information science|0,valid,
formal-science.information-science.library-and-museum-studies.information-retrieval,Study of searching and retrieving information.,Information science|0,valid,
formal-science.information-science.library-and-museum-studies.information-systems-and-technology,Study of information systems and supporting technologies.,Information science|0,valid,
formal-science.information-science.library-and-museum-studies.integrated-library-system,Study of integrated systems for library operations.,Information science|0,valid,
formal-science.information-science.library-and-museum-studies.interlibrary-loan,Study of sharing resources among libraries.,Information science|0,valid,
formal-science.information-science.library-and-museum-studies.knowledge-engineering,Study of building knowledge based systems and ontologies.,Information science|0,valid,
formal-science.information-science.library-and-museum-studies.library,Study of library institutions and services.,Information science|0,valid,
formal-science.information-science.library-and-museum-studies.library-binding,Study of binding and repair of library materials.,Information science|0,valid,
formal-science.information-science.library-and-museum-studies.library-circulation,Study of lending systems and circulation workflows.,Information science|0,valid,
formal-science.information-science.library-and-museum-studies.library-instruction,Study of teaching users how to use library resources.,Information science|0,valid,
formal-science.information-science.library-and-museum-studies.library-portal,Study of portals for access to library resources.,Information science|0,valid,
formal-science.information-science.library-and-museum-studies.library-technical-services,Study of technical services such as cataloging and processing.,Information science|0,valid,
formal-science.information-science.library-and-museum-studies.mass-deacidification,Study of chemical processes to preserve paper collections.,Chemistry|1,valid,
formal-science.information-science.library-and-museum-studies.museology,Study of museums their roles and practices.,Information science|0,valid,
formal-science.information-science.library-and-museum-studies.museum-education,Study of educational programs in museums.,Information science|0,valid,
formal-science.information-science.library-and-museum-studies.museum-education.museum-administration,Study of managing museums and their operations.,Information science|0,valid,
formal-science.information-science.library-and-museum-studies.object-conservation,Study of preserving physical objects in collections.,Chemistry|1,valid,
formal-science.information-science.library-and-museum-studies.preservation,Study of preserving materials and information over time.,Information science|0,valid,
formal-science.information-science.library-and-museum-studies.prospect-research,Study of research for fundraising and donor identification.,Information science|0,valid,
formal-science.information-science.library-and-museum-studies.readers-advisory,Study of advising readers and recommending materials.,Information science|0,valid,
formal-science.information-science.library-and-museum-studies.records-management,Study of managing organizational records and archives.,Information science|0,valid,
formal-science.information-science.library-and-museum-studies.reference,Study of reference services and information assistance.,Information science|0,valid,
formal-science.information-science.library-and-museum-studies.reference-desk,Study of reference desk operations and user support.,Information science|0,valid,
formal-science.information-science.library-and-museum-studies.reference-management-software,Study of software for managing citations and references.,Information science|0,valid,
formal-science.information-science.library-and-museum-studies.registrar,Study of registrar roles managing collection documentation.,Information science|0,valid,
formal-science.information-science.library-and-museum-studies.research-methods,Study of research methods in information science.,Scientific thinking|1,valid,
formal-science.information-science.library-and-museum-studies.slow-fire,Study of paper preservation and decay prevention methods.,Chemistry|1,valid,
formal-science.information-science.library-and-museum-studies.special-library,Study of specialized libraries and their services.,Information science|0,valid,
formal-science.scientific-thinking,Study of scientific reasoning and methods.,,valid,
formal-science.computer-science,Study of computation algorithms and information processing.,Mathematics|1,valid,
formal-science.computer-science.operating-systems,Study of operating systems and resource management.,Computer science|0,valid,
formal-science.computer-science.algorithms,Study of algorithms and computational procedures.,Computer science|0,valid,
formal-science.computer-science.algorithms.computational-geometry,Study of geometric problems using algorithms.,Mathematics|1,valid,
formal-science.computer-science.algorithms.distributed-algorithms,Study of algorithms for distributed systems.,Computer science|0,valid,
formal-science.computer-science.algorithms.parallel-algorithms,Study of algorithms for parallel computing.,Computer science|0,valid,
formal-science.computer-science.algorithms.randomized-algorithms,Study of algorithms using randomness and probability.,Statistics|1,valid,
formal-science.computer-science.artificial-intelligence,Study of systems that perform intelligent tasks.,Computer science|0,valid,
formal-science.computer-science.artificial-intelligence.cognitive-science,Study of mind and cognition using computational models.,Psychology|1,valid,
formal-science.computer-science.artificial-intelligence.cognitive-science.automated-reasoning,Study of automated logical reasoning systems.,Logic|1,valid,
formal-science.computer-science.artificial-intelligence.cognitive-science.computer-vision,Study of systems that interpret visual information.,Computer science|0,valid,
formal-science.computer-science.artificial-intelligence.cognitive-science.machine-learning,Study of algorithms that learn from data.,Statistics|1,valid,
formal-science.computer-science.artificial-intelligence.cognitive-science.machine-learning.artificial-neural-networks,Study of neural network models for learning.,Statistics|1,valid,
formal-science.computer-science.artificial-intelligence.cognitive-science.machine-learning.support-vector-machine,Study of support vector machines for classification.,Statistics|1,valid,
formal-science.computer-science.artificial-intelligence.cognitive-science.natural-language-processing-computational-linguistics,Study of language processing with computational methods.,Linguistics|1,valid,
formal-science.computer-science.artificial-intelligence.expert-systems,Study of rule based systems for expert decision making.,Computer science|0,valid,
formal-science.computer-science.database,Study of database systems and data management.,Computer science|0,valid,
formal-science.computer-science.data-science,Study of extracting insights from data using computation.,Statistics|1,valid,
formal-science.computer-science.data-structures,Study of organizing data for efficient processing.,Computer science|0,valid,
formal-science.computer-science.computer-architecture,Study of computer hardware organization and design.,Physics|1,valid,
formal-science.computer-science.computer-graphics,Study of generating and manipulating visual images.,Computer science|0,valid,
formal-science.computer-science.computer-graphics.image-processing,Study of processing and analyzing digital images.,Computer science|0,valid,
formal-science.computer-science.computer-graphics.scientific-visualization,Study of visualizing scientific data and models.,Scientific thinking|1,valid,
formal-science.computer-science.computer-communications-networks,Study of data communication and networked systems.,Computer science|0,valid,
formal-science.computer-science.computer-communications-networks.cloud-computing,Study of computing resources delivered over networks.,Computer science|0,valid,
formal-science.computer-science.computer-communications-networks.internet-world-wide-web,Study of internet architecture and web technologies.,Computer science|0,valid,
formal-science.computer-science.computer-communications-networks.ubiquitous-computing,Study of computing embedded in everyday environments.,Computer science|0,valid,
formal-science.computer-science.computer-communications-networks.wireless-computing-mobile-computing,Study of mobile and wireless computing systems.,Computer science|0,valid,
formal-science.computer-science.computer-security-and-reliability,Study of secure and reliable computing systems.,Computer science|0,valid,
formal-science.computer-science.computer-security-and-reliability.cryptanalysis,Study of breaking and analyzing cryptographic systems.,Mathematics|1,valid,
formal-science.computer-science.computer-security-and-reliability.fault-tolerant-computing,Study of systems that continue operating despite faults.,Computer science|0,valid,
formal-science.computer-science.computing-in-mathematics-natural-sciences-engineering-and-medicine,Study of computing applied to science engineering and medicine.,Computer science|0,valid,
formal-science.computer-science.computing-in-mathematics-natural-sciences-engineering-and-medicine.algebraic-symbolic-computation,Study of symbolic computation for algebraic problems.,Mathematics|1,valid,
formal-science.computer-science.computing-in-mathematics-natural-sciences-engineering-and-medicine.computational-biology-bioinformatics,Study of computation applied to biological data and systems.,Biology|1,valid,
formal-science.computer-science.computing-in-mathematics-natural-sciences-engineering-and-medicine.computational-neuroscience,Study of computational models of neural systems.,Biology|1,valid,
formal-science.computer-science.computing-in-mathematics-natural-sciences-engineering-and-medicine.computational-number-theory,Study of algorithms for number theory problems.,Mathematics|1,valid,
formal-science.computer-science.computing-in-mathematics-natural-sciences-engineering-and-medicine.computer-aided-engineering,Study of computation used in engineering design and analysis.,Technology|1,valid,
formal-science.computer-science.computing-in-mathematics-natural-sciences-engineering-and-medicine.computer-aided-engineering.computational-fluid-dynamics,Study of numerical simulation of fluid flow.,Physics|1,valid,
formal-science.computer-science.computing-in-mathematics-natural-sciences-engineering-and-medicine.computer-aided-engineering.finite-element-analysis,Study of numerical methods for structural analysis.,Mathematics|1,valid,
formal-science.computer-science.computing-in-mathematics-natural-sciences-engineering-and-medicine.scientific-computing-computational-science,Study of computational methods for scientific problems.,Scientific thinking|1,valid,
formal-science.computer-science.computing-in-social-sciences-arts-humanities-and-professions,Study of computing applied to social sciences and humanities.,Computer science|0,valid,
formal-science.computer-science.computing-in-social-sciences-arts-humanities-and-professions.computational-finance,Study of computational methods in finance.,Economics|1,valid,
formal-science.computer-science.computing-in-social-sciences-arts-humanities-and-professions.digital-humanities-humanities-computing,Study of digital methods applied to humanities research.,Literature|1,valid,
formal-science.computer-science.computing-in-social-sciences-arts-humanities-and-professions.history-of-computer-hardware,Study of the historical development of computer hardware.,History|1,valid,
formal-science.computer-science.computing-in-social-sciences-arts-humanities-and-professions.history-of-computer-science,Study of the history of computer science as a field.,History|1,valid,
formal-science.computer-science.computing-in-social-sciences-arts-humanities-and-professions.humanistic-informatics,Study of computing in relation to humanistic inquiry.,Literature|1,valid,
formal-science.computer-science.computing-in-social-sciences-arts-humanities-and-professions.databases,Study of database systems and data management.,Computer science|0,valid,
formal-science.computer-science.computing-in-social-sciences-arts-humanities-and-professions.databases.distributed-databases,Study of databases distributed across multiple nodes.,Computer science|0,valid,
formal-science.computer-science.computing-in-social-sciences-arts-humanities-and-professions.databases.object-databases,Study of object oriented database systems.,Computer science|0,valid,
formal-science.computer-science.computing-in-social-sciences-arts-humanities-and-professions.databases.relational-databases,Study of relational database models and systems.,Computer science|0,valid,
formal-science.computer-science.computing-in-social-sciences-arts-humanities-and-professions.data-management,Study of data management practices and governance.,Information science|1,valid,
formal-science.computer-science.computing-in-social-sciences-arts-humanities-and-professions.information-management,Study of managing information resources and workflows.,Information science|1,valid,
formal-science.computer-science.computing-in-social-sciences-arts-humanities-and-professions.information-system,Study of information systems in organizations.,Information science|1,valid,
formal-science.computer-science.computing-in-social-sciences-arts-humanities-and-professions.multimedia-hypermedia,Study of multimedia systems and hypermedia content.,Computer science|0,valid,
formal-science.computer-science.computing-in-social-sciences-arts-humanities-and-professions.multimedia-hypermedia.sound-and-music-computing,Study of computing for sound and music processing.,Music|1,valid,
formal-science.computer-science.distributed-computing,Study of computing across distributed systems.,Computer science|0,valid,
formal-science.computer-science.distributed-computing.grid-computing,Study of grid computing and resource sharing systems.,Computer science|0,valid,
formal-science.computer-science.human-computer-interaction,Study of interaction between people and computer systems.,Computer science|0,valid,
formal-science.computer-science.parallel-computing,Study of computing with parallel processing.,Computer science|0,valid,
formal-science.computer-science.parallel-computing.high-performance-computing,Study of high performance computing systems and methods.,Computer science|0,valid,
formal-science.computer-science.computer-program,Study of computer programs and executable instructions.,Computer science|0,valid,
formal-science.computer-science.computer-programming,Study of writing and structuring computer programs.,Computer science|0,valid,
formal-science.computer-science.programming-languages,Study of programming language design and use.,Computer science|0,valid,
formal-science.computer-science.programming-languages.compilers,Study of compilers and program translation.,Computer science|0,valid,
formal-science.computer-science.programming-languages.programming-paradigms,Study of programming paradigms and styles.,Computer science|0,valid,
formal-science.computer-science.programming-languages.programming-paradigms.concurrent-programming,Study of concurrent programming models and techniques.,Computer science|0,valid,
formal-science.computer-science.programming-languages.programming-paradigms.functional-programming,Study of functional programming models and techniques.,Computer science|0,valid,
formal-science.computer-science.programming-languages.programming-paradigms.imperative-programming,Study of imperative programming models and techniques.,Computer science|0,valid,
formal-science.computer-science.programming-languages.programming-paradigms.object-oriented-programming,Study of object oriented programming models and techniques.,Computer science|0,valid,
formal-science.computer-science.programming-languages.program-semantics,Study of meaning and semantics of programs.,Logic|1,valid,
formal-science.computer-science.quantum-computing,Study of computation using quantum mechanics.,Physics|0,valid,
formal-science.computer-science.quantum-computing.quantum-information,Study of information theory in quantum systems.,Physics|1,valid,
formal-science.computer-science.software-engineering,Study of engineering methods for software development.,Computer science|0,valid,
formal-science.computer-science.theoretical-computer-science,Study of theoretical foundations of computation.,Logic|1,valid,
formal-science.computer-science.theory-of-computation,Study of computability and formal models of computation.,Logic|1,valid,
formal-science.computer-science.theory-of-computation.automata-theory-formal-languages,Study of automata and formal language theory.,Logic|1,valid,
formal-science.computer-science.theory-of-computation.computability-theory,Study of which problems are computable.,Logic|1,valid,
formal-science.computer-science.theory-of-computation.concurrency-theory,Study of concurrent systems and their behavior.,Logic|1,valid,
formal-science.computer-science.theory-of-computation.computational-complexity-theory,Study of computational resource requirements.,Mathematics|0,valid,
formal-science.computer-science.vlsi-design,Study of very large scale integrated circuit design.,Physics|1,valid,
formal-science.logic,Study of principles of valid reasoning.,,valid,
formal-science.logic.mathematical-logic,Study of logic using mathematical methods.,Mathematics|1,valid,
formal-science.logic.mathematical-logic.set-theory,Study of sets and foundational structures.,Mathematics|1;Logic|1,valid,
formal-science.logic.mathematical-logic.proof-theory,Study of formal proofs and deduction systems.,Mathematics|1;Logic|1,valid,
formal-science.logic.mathematical-logic.model-theory,Study of models and interpretations of formal theories.,Mathematics|1;Logic|1,valid,
formal-science.logic.mathematical-logic.recursion-theory,Study of recursive functions and computability.,Mathematics|1;Logic|1,valid,
formal-science.logic.mathematical-logic.intuitionistic-logic,Study of intuitionistic logic and constructive proofs.,Logic|1,valid,
formal-science.logic.philosophical-logic,Study of logic in relation to philosophical problems.,Logic|1,valid,
formal-science.logic.philosophical-logic.logical-reasoning,Study of reasoning patterns and logical argumentation.,Logic|1,valid,
formal-science.logic.philosophical-logic.modal-logic,Study of modal logic in philosophical contexts.,Logic|1,valid,
formal-science.logic.philosophical-logic.modal-logic.deontic-logic,Study of logic of obligation and permission.,Ethics|1,valid,
formal-science.logic.philosophical-logic.modal-logic.doxastic-logic,Study of logic of belief and epistemic states.,Philosophy|1,valid,
formal-science.logic.logic-in-computer-science,Study of logical foundations in computer science.,Logic|1,valid,
formal-science.logic.logic-in-computer-science.programming-language-semantics,Study of semantics of programming languages.,Logic|1,valid,
formal-science.logic.logic-in-computer-science.formal-methods-formal-verification,Study of formal verification for software systems.,Logic|1,valid,
formal-science.logic.logic-in-computer-science.type-theory,Study of type systems and formal type theory.,Logic|1,valid,
formal-science.logic.logic-in-computer-science.logic-programming,Study of programming based on formal logic.,Logic|1,valid,
formal-science.logic.logic-in-computer-science.multi-valued-logic,Study of logics with more than two truth values.,Logic|1,valid,
formal-science.logic.logic-in-computer-science.multi-valued-logic.fuzzy-logic,Study of fuzzy logic and graded truth values.,Logic|1,valid,
formal-science.mathematics,Study of numbers structures and abstract patterns.,,valid,
formal-science.mathematics.mathematical-logic-and-foundations-of-mathematics,Study of foundations and logical basis of mathematics.,Mathematics|0,valid,
formal-science.mathematics.arithmetic,Study of numbers and basic operations.,Mathematics|0,valid,
formal-science.mathematics.algebra,Study of structures symbols and algebraic systems.,Mathematics|0,valid,
formal-science.mathematics.algebra.associative-algebra,Study of algebras with associative multiplication.,Mathematics|0,valid,
formal-science.mathematics.algebra.category-theory,Study of abstract structures and morphisms.,Mathematics|0,valid,
formal-science.mathematics.algebra.category-theory.topos-theory,Study of topos theory and categorical logic.,Mathematics|0,valid,
formal-science.mathematics.algebra.differential-algebra,Study of algebraic structures with derivations.,Mathematics|0,valid,
formal-science.mathematics.algebra.field-theory,Study of algebraic field structures and extensions.,Mathematics|0,valid,
formal-science.mathematics.algebra.group-theory,Study of groups and symmetries.,Mathematics|0,valid,
formal-science.mathematics.algebra.group-theory.group-representation,Study of group representations on vector spaces.,Mathematics|0,valid,
formal-science.mathematics.algebra.homological-algebra,Study of algebraic methods using homology.,Mathematics|0,valid,
formal-science.mathematics.algebra.k-theory,Study of algebraic K-theory and invariants.,Mathematics|0,valid,
formal-science.mathematics.algebra.lattice-theory-order-theory,Study of lattice structures and order relations.,Mathematics|0,valid,
formal-science.mathematics.algebra.lie-algebra,Study of Lie algebras and continuous symmetries.,Mathematics|0,valid,
formal-science.mathematics.algebra.linear-algebra-vector-space,Study of vector spaces and linear transformations.,Mathematics|0,valid,
formal-science.mathematics.algebra.multilinear-algebra,Study of multilinear maps and tensor structures.,Mathematics|0,valid,
formal-science.mathematics.algebra.non-associative-algebra,Study of algebras without associative multiplication.,Mathematics|0,valid,
formal-science.mathematics.algebra.representation-theory,Study of representations of algebraic structures.,Mathematics|0,valid,
formal-science.mathematics.algebra.ring-theory,Study of rings and ring homomorphisms.,Mathematics|0,valid,
formal-science.mathematics.algebra.ring-theory.commutative-algebra,Study of commutative rings and ideals.,Mathematics|0,valid,
formal-science.mathematics.algebra.ring-theory.noncommutative-algebra,Study of noncommutative rings and algebras.,Mathematics|0,valid,
formal-science.mathematics.algebra.universal-algebra,Study of algebraic structures in a general framework.,Mathematics|0,valid,
formal-science.mathematics.analysis,Study of limits continuity and real analysis.,Mathematics|0,valid,
formal-science.mathematics.analysis.complex-analysis,Study of functions of complex variables.,Mathematics|0,valid,
formal-science.mathematics.analysis.functional-analysis,Study of infinite-dimensional vector spaces and operators.,Mathematics|0,valid,
formal-science.mathematics.analysis.functional-analysis.operator-theory,Study of operators on function spaces.,Mathematics|0,valid,
formal-science.mathematics.analysis.harmonic-analysis,Study of representing functions using waves and harmonics.,Mathematics|0,valid,
formal-science.mathematics.analysis.harmonic-analysis.fourier-analysis,Study of Fourier series and transforms.,Mathematics|0,valid,
formal-science.mathematics.analysis.non-standard-analysis,Study of analysis using infinitesimal methods.,Mathematics|0,valid,
formal-science.mathematics.analysis.ordinary-differential-equations,Study of differential equations in one variable.,Mathematics|0,valid,
formal-science.mathematics.analysis.p-adic-analysis,Study of analysis over p-adic number systems.,Mathematics|0,valid,
formal-science.mathematics.analysis.partial-differential-equations,Study of differential equations in multiple variables.,Mathematics|0,valid,
formal-science.mathematics.analysis.real-analysis,Study of real numbers limits and convergence.,Mathematics|0,valid,
formal-science.mathematics.analysis.real-analysis.calculus,Study of change and accumulation through derivatives and integrals.,Mathematics|0,valid,
formal-science.mathematics.probability-theory,Study of randomness and probabilistic models.,Mathematics|0,valid,
formal-science.mathematics.probability-theory.ergodic-theory,Study of statistical behavior of dynamical systems.,Mathematics|0,valid,
formal-science.mathematics.probability-theory.measure-theory,Study of measures integration and measurable spaces.,Mathematics|0,valid,
formal-science.mathematics.probability-theory.stochastic-process,Study of random processes evolving over time.,Mathematics|0,valid,
formal-science.mathematics.geometry-and-topology,Study of shapes spaces and topological properties.,Mathematics|0,valid,
formal-science.mathematics.geometry-and-topology.affine-geometry,Study of geometry without metric notions of distance.,Mathematics|0,valid,
formal-science.mathematics.geometry-and-topology.algebraic-geometry,Study of geometry defined by polynomial equations.,Mathematics|0,valid,
formal-science.mathematics.geometry-and-topology.algebraic-topology,Study of topology using algebraic methods.,Mathematics|0,valid,
formal-science.mathematics.geometry-and-topology.convex-geometry,Study of convex sets and their properties.,Mathematics|0,valid,
formal-science.mathematics.geometry-and-topology.differential-topology,Study of smooth manifolds and differentiable maps.,Mathematics|0,valid,
formal-science.mathematics.geometry-and-topology.discrete-geometry,Study of geometric structures with discrete elements.,Mathematics|0,valid,
formal-science.mathematics.geometry-and-topology.finite-geometry,Study of geometric systems with finite points.,Mathematics|0,valid,
formal-science.mathematics.geometry-and-topology.galois-geometry,Study of geometry over finite fields.,Mathematics|0,valid,
formal-science.mathematics.geometry-and-topology.general-topology,Study of topological spaces and continuity.,Mathematics|0,valid,
formal-science.mathematics.geometry-and-topology.geometric-topology,Study of manifolds and embeddings in topology.,Mathematics|0,valid,
formal-science.mathematics.geometry-and-topology.integral-geometry,Study of geometric properties using measure theory.,Mathematics|0,valid,
formal-science.mathematics.geometry-and-topology.noncommutative-geometry,Study of geometry with noncommutative algebraic structures.,Mathematics|0,valid,
formal-science.mathematics.geometry-and-topology.non-euclidean-geometry,Study of geometries that differ from Euclidean axioms.,Mathematics|0,valid,
formal-science.mathematics.geometry-and-topology.projective-geometry,Study of geometry based on projection and incidence.,Mathematics|0,valid,
formal-science.mathematics.geometry-and-topology.euclidean-geometry,Study of classical Euclidean geometry.,Mathematics|0,valid,
formal-science.mathematics.geometry-and-topology.solid-geometry,Study of three dimensional geometric figures.,Mathematics|0,valid,
formal-science.mathematics.geometry-and-topology.trigonometry,Study of relationships between angles and sides.,Mathematics|0,valid,
formal-science.mathematics.number-theory,Study of integers and their properties.,Mathematics|0,valid,
formal-science.mathematics.number-theory.algebraic-number-theory,Study of number theory using algebraic structures.,Mathematics|0,valid,
formal-science.mathematics.number-theory.analytic-number-theory,Study of number theory using analytic methods.,Mathematics|0,valid,
formal-science.mathematics.number-theory.arithmetic-combinatorics,Study of additive and combinatorial number theory.,Mathematics|0,valid,
formal-science.mathematics.number-theory.geometric-number-theory,Study of number theory using geometric methods.,Mathematics|0,valid,
formal-science.mathematics.approximation-theory,Study of approximating functions and data.,Mathematics|0,valid,
formal-science.mathematics.combinatorics,Study of counting arrangements and discrete structures.,Mathematics|0,valid,
formal-science.mathematics.combinatorics.coding-theory,Study of error correcting codes and information reliability.,Mathematics|0,valid,
formal-science.mathematics.cryptography,Study of encryption and secure communication.,Mathematics|0,valid,
formal-science.mathematics.dynamical-systems,Study of systems that evolve over time.,Mathematics|0,valid,
formal-science.mathematics.dynamical-systems.fractal-geometry,Study of fractal structures and self similarity.,Mathematics|0,valid,
formal-science.mathematics.game-theory,Study of strategic decision making and games.,Mathematics|0,valid,
formal-science.mathematics.graph-theory,Study of graphs and network structures.,Mathematics|0,valid,
formal-science.mathematics.information-theory,Study of information transmission and coding limits.,Mathematics|0,valid,
formal-science.mathematics.mathematical-physics,Study of mathematics applied to physical systems.,Physics|1;Mathematics|1,valid,
formal-science.mathematics.mathematical-physics.quantum-field-theory,Study of mathematical frameworks for quantum fields.,Physics|1,valid,
formal-science.mathematics.mathematical-physics.quantum-gravity,Study of mathematical approaches to quantum gravity.,Physics|1,valid,
formal-science.mathematics.mathematical-physics.quantum-gravity.string-theory,Study of string theory as a quantum gravity model.,Physics|1,valid,
formal-science.mathematics.numerical-analysis,Study of numerical methods for approximations.,Mathematics|0,valid,
formal-science.mathematics.operations-research,Study of optimization and decision processes.,Mathematics|0,valid,
formal-science.mathematics.operations-research.assignment-problem,Study of assignment optimization problems.,Mathematics|0,valid,
formal-science.mathematics.operations-research.decision-analysis,Study of decision making under uncertainty.,Mathematics|0,valid,
formal-science.mathematics.operations-research.dynamic-programming,Study of optimization via dynamic programming methods.,Mathematics|0,valid,
formal-science.mathematics.operations-research.inventory-theory,Study of inventory control and optimization.,Mathematics|0,valid,
